CLOCK_REF  mono_ns=36352901455216  real_ns=1787630976728983784
WRITE  gpa=0x0000003ce5a1b000  ts=36353298941233
WRITE  gpa=0x0000003f7fc1f000  ts=36353298944063
WRITE  gpa=0x00000001222fa000  ts=36353298947033
WRITE  gpa=0x0000000103bc0000  ts=36353298949653
WRITE  gpa=0x0000000307b2f000  ts=36353298952413
WRITE  gpa=0x00000003b7286000  ts=36353298955563
WRITE  gpa=0x00000001035e6000  ts=36353298959223
WRITE  gpa=0x000000018867a000  ts=36353298962563
WRITE  gpa=0x00000001078a5000  ts=36353298966063
WRITE  gpa=0x000000020299e000  ts=36353298969693
WRITE  gpa=0x0000003f7fc22000  ts=36353298972403
WRITE  gpa=0x0000000100d66000  ts=36353298975983
WRITE  gpa=0x00000002817c4000  ts=36353298980923
WRITE  gpa=0x000000035e352000  ts=36353298987763
WRITE  gpa=0x00000001001d0000  ts=36353298992723
WRITE  gpa=0x000000011ee31000  ts=36353298995413
WRITE  gpa=0x0000003f7fc23000  ts=36353298998373
WRITE  gpa=0x0000000102951000  ts=36353299001423
WRITE  gpa=0x0000000117d9d000  ts=36353299004413
WRITE  gpa=0x0000000320949000  ts=36353299008222
WRITE  gpa=0x00000003d6b79000  ts=36353299011952
WRITE  gpa=0x000000011f682000  ts=36353299016122
WRITE  gpa=0x0000000104e96000  ts=36353299022062
WRITE  gpa=0x0000000102950000  ts=36353299025622
WRITE  gpa=0x000000011edba000  ts=36353299028902
WRITE  gpa=0x000000011edb9000  ts=36353299031632
WRITE  gpa=0x000000011f378000  ts=36353299035492
WRITE  gpa=0x0000000100117000  ts=36353299039902
WRITE  gpa=0x0000000100293000  ts=36353299043622
WRITE  gpa=0x0000003ce6165000  ts=36353299047792
WRITE  gpa=0x00000001229f6000  ts=36353299051872
WRITE  gpa=0x0000003f7fc15000  ts=36353299057332
WRITE  gpa=0x0000003ce660d000  ts=36353299060532
WRITE  gpa=0x0000003ce660e000  ts=36353299062792
WRITE  gpa=0x0000003ce5a1c000  ts=36353299065292
WRITE  gpa=0x0000003f7fc2e000  ts=36353299072472
WRITE  gpa=0x0000000117560000  ts=36353299076592
WRITE  gpa=0x00000001175e8000  ts=36353299081082
WRITE  gpa=0x00000003b532e000  ts=36353299085732
WRITE  gpa=0x0000003f7fc36000  ts=36353299092352
WRITE  gpa=0x00000001e8a33000  ts=36353299097012
WRITE  gpa=0x000000011f836000  ts=36353299102312
WRITE  gpa=0x000000011f86a000  ts=36353299107011
WRITE  gpa=0x000000011f869000  ts=36353299109681
WRITE  gpa=0x000000028167d000  ts=36353299112831
WRITE  gpa=0x000000028167e000  ts=36353299115261
WRITE  gpa=0x0000000104f65000  ts=36353299120001
WRITE  gpa=0x0000000106eb4000  ts=36353299124091
WRITE  gpa=0x000000010004f000  ts=36353299128021
WRITE  gpa=0x0000000100123000  ts=36353299131451
WRITE  gpa=0x00000003b83e6000  ts=36353299134901
WRITE  gpa=0x00000003b8171000  ts=36353299140221
WRITE  gpa=0x000000010b806000  ts=36353299146131
WRITE  gpa=0x000000010b838000  ts=36353299150651
WRITE  gpa=0x0000003ce5a98000  ts=36353299155681
WRITE  gpa=0x0000003ce61d4000  ts=36353299159661
