Loading UNet_training_v5.json ...
  .out_v5.list index count : 2608
  v5.json matched samples  : 2608
  RealListDataset: 2348 files loaded

UNetGeneratorR | Device: cpu
  json_train : 2347 (matched, augment_sparsity)
  real_ds    : 2348 (.out_v5.list, real, val 제외)
  train total: 4695
  val        : 261 (matched, fixed sparsity)
G params: 1,024,993  D params: 34,593
--------------------------------------------------------------------------------
[ 71/100]  D:0.6453  G:0.1071  mse:0.02107  SSIM:0.8559
[ 72/100]  D:0.6459  G:0.1073  mse:0.02156  SSIM:0.8535
[ 73/100]  D:0.6465  G:0.1061  mse:0.02122  SSIM:0.8560
[ 74/100]  D:0.6467  G:0.1058  mse:0.02129  SSIM:0.8560
[ 75/100]  D:0.6468  G:0.1046  mse:0.02108  SSIM:0.8568
[ 76/100]  D:0.6473  G:0.1043  mse:0.02138  SSIM:0.8549
[ 77/100]  D:0.6474  G:0.1043  mse:0.02125  SSIM:0.8558
[ 78/100]  D:0.6478  G:0.1034  mse:0.02112  SSIM:0.8567
[ 79/100]  D:0.6479  G:0.1030  mse:0.02122  SSIM:0.8573
[ 80/100]  D:0.6477  G:0.1025  mse:0.02128  SSIM:0.8556
[ 81/100]  D:0.6488  G:0.1018  mse:0.02123  SSIM:0.8566
[ 82/100]  D:0.6486  G:0.1020  mse:0.02127  SSIM:0.8558
[ 83/100]  D:0.6489  G:0.1013  mse:0.02122  SSIM:0.8569
[ 84/100]  D:0.6488  G:0.1009  mse:0.02122  SSIM:0.8560
[ 85/100]  D:0.6488  G:0.1007  mse:0.02137  SSIM:0.8554
[ 86/100]  D:0.6491  G:0.1005  mse:0.02125  SSIM:0.8561
[ 87/100]  D:0.6494  G:0.1009  mse:0.02115  SSIM:0.8570
[ 88/100]  D:0.6494  G:0.1002  mse:0.02114  SSIM:0.8567
[ 89/100]  D:0.6494  G:0.0999  mse:0.02122  SSIM:0.8567
[ 90/100]  D:0.6496  G:0.0998  mse:0.02122  SSIM:0.8563
